school_to_school,distance,distance_mi,town_1,town_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_x,district_code_y,district_name_y,avg_class_size_x,avg_class_size_y,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,nhpi_pct_x,mrnh_pct_x,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,nhpi_pct_y,mrnh_pct_y,ap_pct_score_3-5_x,ap_pct_score_3-5_y,attend_uni_(pct)_x,attend_uni_(pct)_y,private_four-year_(pct)_x,private_four-year_(pct)_y,pct_graduated_x,pct_graduated_y,pct_dropped_out_x,pct_dropped_out_y,school_name_x,school_name_y,pop_census_2020_x,pop_census_2020_y,hisp_latino_pct_x,hisp_latino_pct_y,white_pop_nhl_x,white_pop_nhl_y,foreign_born_pct_x,foreign_born_pct_y,median_household_income_x,median_household_income_y,per_cap_income_12_mos_x,per_cap_income_12_mos_y,pop_sq_mo_2010_x,pop_sq_mo_2010_y
Danvers-Hamilton,8.586085789,5.335146344153019,Danvers,Hamilton,5,42.582062,-70.931438,33,42.628687,-70.847813,710000.0,Danvers,6750000.0,Hamilton-Wenham,16.8,11.8,2.3,2.4,9.1,83.6,0.1,0.0,2.6,0.5,3.7,5.2,87.8,0.0,0.2,2.7,55.7,62.1,70.9,81.5,39.3,57.1,95.8,97.2,0.8,0.7,Danvers High School,Hamilton-Wenham Regional High School,28087,7561,0.051,0.015,0.876,0.91,0.105,0.096,89250,127813,44005,49347,1995.6,547.4
Saugus-Swampscott,8.608624885,5.349151489056062,Saugus,Swampscott,30,42.460813,-71.022437,31,42.479062,-70.920438,2620000.0,Saugus,2910000.0,Swampscott,17.0,16.8,5.4,5.5,22.8,62.5,0.8,0.4,2.6,3.7,2.7,12.1,78.1,0.2,0.0,3.1,50.6,68.8,63.0,77.5,36.3,37.1,87.7,95.7,7.3,0.6,Saugus High School,Swampscott High School,28619,15111,0.086,0.025,0.833,0.917,0.132,0.129,88667,113407,39790,56405,2467.0,4560.1
Lynnfield-Saugus,8.744494757,5.433577113105851,Lynnfield,Saugus,15,42.539063,-71.033062,30,42.460813,-71.022437,1640000.0,Lynnfield,2620000.0,Saugus,17.6,17.0,1.9,6.9,5.8,82.2,0.0,0.0,3.2,5.4,5.5,22.8,62.5,0.8,0.4,2.6,67.0,50.6,85.4,63.0,44.0,36.3,97.5,87.7,1.3,7.3,Lynnfield High School,Saugus High School,13000,28619,0.024,0.086,0.907,0.833,0.078,0.132,128641,88667,63191,39790,1173.4,2467.0
Peabody-Middleton,8.924496957,5.5454252943224684,Peabody,Middleton,25,42.544562,-70.974187,20,42.624813,-70.975813,2290000.0,Peabody,7050000.0,Masconomet,16.4,15.8,3.8,2.1,19.4,72.5,0.2,0.0,2.0,0.7,3.7,3.1,90.0,0.1,0.2,2.4,56.5,83.5,60.9,88.3,37.7,47.2,88.0,95.9,5.9,1.7,Peabody Veterans Memorial High School,Masconomet Regional High School,54481,9779,0.099,0.062,0.827,0.903,0.154,0.085,73217,125204,40095,52896,3161.4,667.9
Groveland-Newbury,8.997120683,5.590551585369322,Groveland,Newbury,9,42.782938,-71.013188,22,42.744187,-70.916438,7450000.0,Pentucket,7730000.0,Triton,16.3,16.9,0.4,1.2,6.0,89.9,0.1,0.0,2.5,1.6,2.1,3.9,90.1,0.1,0.1,2.0,63.3,69.0,80.2,67.2,40.4,30.8,94.7,89.5,3.2,3.7,Pentucket Regional High School,Triton Regional High School,6752,6716,0.032,0.03,0.959,0.921,0.025,0.04,103125,101875,44709,57871,727.1,285.4
Amesbury-Groveland,9.522769859,5.917174839382962,Amesbury,Groveland,1,42.851062,-70.942437,34,42.782938,-71.013188,70000.0,Amesbury,7450000.0,Pentucket,15.1,16.3,1.9,1.2,9.7,82.6,0.2,0.1,4.3,0.4,1.2,6.0,89.9,0.1,0.0,2.5,58.7,63.3,67.5,80.2,33.3,40.4,87.9,94.7,3.0,3.2,Amesbury High School,Pentucket Regional High School,17366,6752,0.025,0.032,0.938,0.959,0.043,0.025,82468,103125,42607,44709,1327.8,727.1
Lynnfield-Danvers,9.598771614,5.964400140329401,Lynnfield,Danvers,15,42.539063,-71.033062,5,42.582062,-70.931438,1640000.0,Lynnfield,710000.0,Danvers,17.6,16.8,1.9,6.9,5.8,82.2,0.0,0.0,3.2,2.3,2.4,9.1,83.6,0.1,0.0,2.6,67.0,55.7,85.4,70.9,44.0,39.3,97.5,95.8,1.3,0.8,Lynnfield High School,Danvers High School,13000,28087,0.024,0.051,0.907,0.876,0.078,0.105,128641,89250,63191,44005,1173.4,1995.6
Beverly-Manchester,9.610054023,5.971410704235797,Beverly,Manchester,3,42.564813,-70.881187,16,42.582062,-70.766188,300000.0,Beverly,6980000.0,Manchester Essex Regional,16.4,14.8,3.5,2.5,14.9,75.0,0.1,0.0,4.0,0.5,1.2,1.3,96.5,0.0,0.0,0.6,56.5,77.7,75.1,83.0,36.9,40.9,91.0,99.1,4.8,0.0,Beverly High School,Manchester Essex Regional High School,42670,5395,0.051,0.015,0.885,0.971,0.08,0.078,80586,148854,45803,74989,2617.2,556.5
Haverhill-North Andover,9.664275356,6.005102278445393,Haverhill,North Andover,11,42.787188,-71.106938,24,42.700563,-71.116563,1280000.0,Haverhill,2110000.0,North Andover,17.2,18.0,5.2,1.8,40.9,49.7,0.2,0.1,2.1,2.9,7.6,13.5,72.5,0.1,0.1,3.3,48.4,80.0,56.9,83.0,28.5,48.4,80.4,97.3,7.7,0.3,Haverhill High School,North Andover High School,67787,30915,0.232,0.076,0.697,0.811,0.107,0.119,69426,108070,33918,54939,1846.5,1077.8
Beverly-Swampscott,10.06305125,6.252890130243487,Beverly,Swampscott,3,42.564813,-70.881187,21,42.479062,-70.920438,300000.0,Beverly,2910000.0,Swampscott,16.4,16.8,3.5,2.5,14.9,75.0,0.1,0.0,4.0,3.7,2.7,12.1,78.1,0.2,0.0,3.1,56.5,68.8,75.1,77.5,36.9,37.1,91.0,95.7,4.8,0.6,Beverly High School,Swampscott High School,42670,15111,0.051,0.025,0.885,0.917,0.08,0.129,80586,113407,45803,56405,2617.2,4560.1
