school_to_school,distance,distance_mi,town_1,town_2,loc1,lat1,lon1,loc2,lat2,lon2,district_code_x,district_name_x,district_code_y,district_name_y,avg_class_size_x,avg_class_size_y,african_american_pct_x,asian_pct_x,hispanic_pct_x,white_pct_x,native_american_pct_x,nhpi_pct_x,mrnh_pct_x,african_american_pct_y,asian_pct_y,hispanic_pct_y,white_pct_y,native_american_pct_y,nhpi_pct_y,mrnh_pct_y,ap_pct_score_3-5_x,ap_pct_score_3-5_y,attend_uni_(pct)_x,attend_uni_(pct)_y,private_four-year_(pct)_x,private_four-year_(pct)_y,pct_graduated_x,pct_graduated_y,pct_dropped_out_x,pct_dropped_out_y,school_name_x,school_name_y,pop_census_2020_x,pop_census_2020_y,hisp_latino_pct_x,hisp_latino_pct_y,white_pop_nhl_x,white_pop_nhl_y,foreign_born_pct_x,foreign_born_pct_y,median_household_income_x,median_household_income_y,per_cap_income_12_mos_x,per_cap_income_12_mos_y,pop_sq_mo_2010_x,pop_sq_mo_2010_y
Rowley-Andover,21.79514084,13.542872599968398,Rowley,Andover,27,42.744187,-70.916438,2,42.657187,-71.155438,7730000.0,Triton,90000.0,Andover,16.9,12.3,1.6,2.1,3.9,90.1,0.1,0.1,2.0,2.7,19.0,7.9,66.5,0.1,0.1,3.7,69.0,74.4,67.2,81.1,30.8,52.4,89.5,95.2,3.7,0.9,Triton Regional High School,Andover High School,6161,9735,0.008,0.025,0.954,0.847,0.033,0.135,115909,95600,54885,55457,321.6,2376.6
Newbury-Manchester,21.81568073,13.555635495860168,Newbury,Manchester,22,42.744187,-70.916438,6,42.582062,-70.766188,7730000.0,Triton,6980000.0,Manchester Essex Regional,16.9,14.8,1.6,2.1,3.9,90.1,0.1,0.1,2.0,0.5,1.2,1.3,96.5,0.0,0.0,0.6,69.0,77.7,67.2,83.0,30.8,40.9,89.5,99.1,3.7,0.0,Triton Regional High School,Manchester Essex Regional High School,6716,5395,0.03,0.015,0.921,0.971,0.04,0.078,101875,148854,57871,74989,285.4,556.5
Hamilton-Groveland,21.83549305,13.56794630071523,Hamilton,Groveland,33,42.628687,-70.847813,34,42.782938,-71.013188,6750000.0,Hamilton-Wenham,7450000.0,Pentucket,11.8,16.3,0.5,3.7,5.2,87.8,0.0,0.2,2.7,0.4,1.2,6.0,89.9,0.1,0.0,2.5,62.1,63.3,81.5,80.2,57.1,40.4,97.2,94.7,0.7,3.2,Hamilton-Wenham Regional High School,Pentucket Regional High School,7561,6752,0.015,0.032,0.91,0.959,0.096,0.025,127813,103125,49347,44709,547.4,727.1
Ipswich-Marblehead,21.85921343,13.58268546146308,Ipswich,Marblehead,12,42.688563,-70.850938,17,42.492438,-70.869187,1440000.0,Ipswich,1680000.0,Marblehead,15.1,16.2,1.3,1.3,7.1,86.3,0.1,0.0,4.0,3.0,1.4,6.9,85.2,0.0,0.0,3.4,78.6,65.2,69.9,79.1,45.2,45.5,90.8,95.1,4.9,0.8,Ipswich High School,Marblehead High School,13785,20441,0.042,0.05,0.92,0.911,0.065,0.105,93212,123333,52393,69148,410.3,4515.5
Amesbury-North Andover,21.95520056,13.642329098655866,Amesbury,North Andover,1,42.851062,-70.942437,24,42.700563,-71.116563,70000.0,Amesbury,2110000.0,North Andover,15.1,18.0,1.9,1.2,9.7,82.6,0.2,0.1,4.3,2.9,7.6,13.5,72.5,0.1,0.1,3.3,58.7,80.0,67.5,83.0,33.3,48.4,87.9,97.3,3.0,0.3,Amesbury High School,North Andover High School,17366,30915,0.025,0.076,0.938,0.811,0.043,0.119,82468,108070,42607,54939,1327.8,1077.8
Boxford-Newburyport,22.18903586,13.787627617280872,Boxford,Newburyport,4,42.624813,-70.975813,23,42.813187,-70.886188,7050000.0,Masconomet,2040000.0,Newburyport,15.8,14.0,0.7,3.7,3.1,90.0,0.1,0.2,2.4,0.9,1.9,4.3,90.3,0.0,0.0,2.6,83.5,62.0,88.3,81.5,47.2,43.4,95.9,94.6,1.7,0.5,Masconomet Regional High School,Newburyport High School,8203,18289,0.024,0.028,0.935,0.924,0.046,0.075,184007,109839,79705,64018,338.1,2086.2
Ipswich-Lynnfield,22.3262621,13.8728960493289,Ipswich,Lynnfield,12,42.688563,-70.850938,15,42.539063,-71.033062,1440000.0,Ipswich,1640000.0,Lynnfield,15.1,17.6,1.3,1.3,7.1,86.3,0.1,0.0,4.0,1.9,6.9,5.8,82.2,0.0,0.0,3.2,78.6,67.0,69.9,85.4,45.2,44.0,90.8,97.5,4.9,1.3,Ipswich High School,Lynnfield High School,13785,13000,0.042,0.024,0.92,0.907,0.065,0.078,93212,128641,52393,63191,410.3,1173.4
Manchester-Lynnfield,22.37435076,13.902776957218602,Manchester,Lynnfield,6,42.582062,-70.766188,15,42.539063,-71.033062,6980000.0,Manchester Essex Regional,1640000.0,Lynnfield,14.8,17.6,0.5,1.2,1.3,96.5,0.0,0.0,0.6,1.9,6.9,5.8,82.2,0.0,0.0,3.2,77.7,67.0,83.0,85.4,40.9,44.0,99.1,97.5,0.0,1.3,Manchester Essex Regional High School,Lynnfield High School,5395,13000,0.015,0.024,0.971,0.907,0.078,0.078,148854,128641,74989,63191,556.5,1173.4
Newburyport-North Andover,22.59641296,14.04076001068662,Newburyport,North Andover,23,42.813187,-70.886188,24,42.700563,-71.116563,2040000.0,Newburyport,2110000.0,North Andover,14.0,18.0,0.9,1.9,4.3,90.3,0.0,0.0,2.6,2.9,7.6,13.5,72.5,0.1,0.1,3.3,62.0,80.0,81.5,83.0,43.4,48.4,94.6,97.3,0.5,0.3,Newburyport High School,North Andover High School,18289,30915,0.028,0.076,0.924,0.811,0.075,0.119,109839,108070,64018,54939,2086.2,1077.8
Salem-Gloucester,22.66126273,14.081055789442749,Salem,Gloucester,28,42.506312,-70.911563,8,42.613438,-70.676187,2580000.0,Salem,1070000.0,Gloucester,13.5,13.1,6.6,2.6,43.9,42.4,0.0,0.0,4.5,1.8,1.2,12.9,79.7,0.3,0.3,3.8,56.1,55.0,50.2,49.2,27.3,39.1,73.9,83.7,10.9,5.8,Salem High School,Gloucester High School,44480,29729,0.178,0.024,0.718,0.919,0.146,0.086,68808,72574,38400,43321,4992.9,1099.0
Peabody-Newbury,22.69427276,14.101567271065784,Peabody,Newbury,25,42.544562,-70.974187,22,42.744187,-70.916438,2290000.0,Peabody,7730000.0,Triton,16.4,16.9,3.8,2.1,19.4,72.5,0.2,0.0,2.0,1.6,2.1,3.9,90.1,0.1,0.1,2.0,56.5,69.0,60.9,67.2,37.7,30.8,88.0,89.5,5.9,3.7,Peabody Veterans Memorial High School,Triton Regional High School,54481,6716,0.099,0.03,0.827,0.921,0.154,0.04,73217,101875,40095,57871,3161.4,285.4
Amesbury-Methuen,22.84078854,14.19260795563816,Amesbury,Methuen,1,42.851062,-70.942437,19,42.733063,-71.171563,70000.0,Amesbury,1810000.0,Methuen,15.1,18.3,1.9,1.2,9.7,82.6,0.2,0.1,4.3,3.8,3.7,46.0,42.6,0.1,0.1,3.9,58.7,46.2,67.5,60.0,33.3,29.0,87.9,93.2,3.0,2.7,Amesbury High School,Methuen High School,17366,53059,0.025,0.295,0.938,0.609,0.043,0.223,82468,77484,42607,35387,1327.8,2124.0
Danvers-Merrimac,23.31455797,14.486994630142885,Danvers,Merrimac,5,42.582062,-70.931438,18,42.782938,-71.013188,710000.0,Danvers,7450000.0,Pentucket,16.8,16.3,2.3,2.4,9.1,83.6,0.1,0.0,2.6,0.4,1.2,6.0,89.9,0.1,0.0,2.5,55.7,63.3,70.9,80.2,39.3,40.4,95.8,94.7,0.8,3.2,Danvers High School,Pentucket Regional High School,28087,6723,0.051,0.024,0.876,0.956,0.105,0.033,89250,84609,44005,44616,1995.6,749.3
Hamilton-North Andover,23.38270505,14.529339262337508,Hamilton,North Andover,33,42.628687,-70.847813,24,42.700563,-71.116563,6750000.0,Hamilton-Wenham,2110000.0,North Andover,11.8,18.0,0.5,3.7,5.2,87.8,0.0,0.2,2.7,2.9,7.6,13.5,72.5,0.1,0.1,3.3,62.1,80.0,81.5,83.0,57.1,48.4,97.2,97.3,0.7,0.3,Hamilton-Wenham Regional High School,North Andover High School,7561,30915,0.015,0.076,0.91,0.811,0.096,0.119,127813,108070,49347,54939,547.4,1077.8
Hamilton-Saugus,23.51806059,14.6134452953004,Hamilton,Saugus,33,42.628687,-70.847813,30,42.460813,-71.022437,6750000.0,Hamilton-Wenham,2620000.0,Saugus,11.8,17.0,0.5,3.7,5.2,87.8,0.0,0.2,2.7,5.4,5.5,22.8,62.5,0.8,0.4,2.6,62.1,50.6,81.5,63.0,57.1,36.3,97.2,87.7,0.7,7.3,Hamilton-Wenham Regional High School,Saugus High School,7561,28619,0.015,0.086,0.91,0.833,0.096,0.132,127813,88667,49347,39790,547.4,2467.0
Haverhill-Ipswich,23.60886046,14.669865718574146,Haverhill,Ipswich,11,42.787188,-71.106938,12,42.688563,-70.850938,1280000.0,Haverhill,1440000.0,Ipswich,17.2,15.1,5.2,1.8,40.9,49.7,0.2,0.1,2.1,1.3,1.3,7.1,86.3,0.1,0.0,4.0,48.4,78.6,56.9,69.9,28.5,45.2,80.4,90.8,7.7,4.9,Haverhill High School,Ipswich High School,67787,13785,0.232,0.042,0.697,0.92,0.107,0.065,69426,93212,33918,52393,1846.5,410.3
Georgetown-Manchester,23.95317577,14.883813332484069,Georgetown,Manchester,7,42.724063,-70.986438,6,42.582062,-70.766188,1050000.0,Georgetown,6980000.0,Manchester Essex Regional,14.9,14.8,0.8,1.0,2.4,93.7,0.0,0.2,2.0,0.5,1.2,1.3,96.5,0.0,0.0,0.6,87.2,77.7,82.6,83.0,41.1,40.9,95.5,99.1,2.7,0.0,Georgetown High School,Manchester Essex Regional High School,8470,5395,0.035,0.015,0.932,0.971,0.037,0.078,128466,148854,53243,74989,636.3,556.5
Ipswich-Swampscott,23.98029794,14.900666267532348,Ipswich,Swampscott,12,42.688563,-70.850938,21,42.479062,-70.920438,1440000.0,Ipswich,2910000.0,Swampscott,15.1,16.8,1.3,1.3,7.1,86.3,0.1,0.0,4.0,3.7,2.7,12.1,78.1,0.2,0.0,3.1,78.6,68.8,69.9,77.5,45.2,37.1,90.8,95.7,4.9,0.6,Ipswich High School,Swampscott High School,13785,15111,0.042,0.025,0.92,0.917,0.065,0.129,93212,113407,52393,56405,410.3,4560.1
Lawrence-Ipswich,24.04113035,14.938465774524616,Lawrence,Ipswich,13,42.691187,-71.145062,12,42.688563,-70.850938,1490000.0,Lawrence,1440000.0,Ipswich,17.9,15.1,1.3,1.2,93.8,3.2,0.0,0.0,0.4,1.3,1.3,7.1,86.3,0.1,0.0,4.0,23.8,78.6,45.7,69.9,19.6,45.2,72.8,90.8,8.8,4.9,Lawrence High School,Ipswich High School,89143,13785,0.806,0.042,0.148,0.92,0.406,0.065,44613,93212,20858,52393,11028.0,410.3
Rockport-Beverly,24.25991952,15.074415061446627,Rockport,Beverly,26,42.652187,-70.609562,3,42.564813,-70.881187,2520000.0,Rockport,300000.0,Beverly,14.7,16.4,0.7,1.8,3.6,90.4,0.0,0.1,3.4,3.5,2.5,14.9,75.0,0.1,0.0,4.0,38.8,56.5,66.7,75.1,48.0,36.9,94.9,91.0,1.3,4.8,Rockport High School,Beverly High School,6992,42670,0.007,0.051,0.965,0.885,0.029,0.08,85208,80586,51122,45803,994.4,2617.2
Lawrence-Amesbury,24.28125278,15.087670934599409,Lawrence,Amesbury,13,42.691187,-71.145062,1,42.851062,-70.942437,1490000.0,Lawrence,70000.0,Amesbury,17.9,15.1,1.3,1.2,93.8,3.2,0.0,0.0,0.4,1.9,1.2,9.7,82.6,0.2,0.1,4.3,23.8,58.7,45.7,67.5,19.6,33.3,72.8,87.9,8.8,3.0,Lawrence High School,Amesbury High School,89143,17366,0.806,0.025,0.148,0.938,0.406,0.043,44613,82468,20858,42607,11028.0,1327.8
Lynnfield-Methuen,24.3660969,15.14039062640831,Lynnfield,Methuen,15,42.539063,-71.033062,19,42.733063,-71.171563,1640000.0,Lynnfield,1810000.0,Methuen,17.6,18.3,1.9,6.9,5.8,82.2,0.0,0.0,3.2,3.8,3.7,46.0,42.6,0.1,0.1,3.9,67.0,46.2,85.4,60.0,44.0,29.0,97.5,93.2,1.3,2.7,Lynnfield High School,Methuen High School,13000,53059,0.024,0.295,0.907,0.609,0.078,0.223,128641,77484,63191,35387,1173.4,2124.0
Andover-Saugus,24.40217155,15.162806374607642,Andover,Saugus,2,42.657187,-71.155438,30,42.460813,-71.022437,90000.0,Andover,2620000.0,Saugus,12.3,17.0,2.7,19.0,7.9,66.5,0.1,0.1,3.7,5.4,5.5,22.8,62.5,0.8,0.4,2.6,74.4,50.6,81.1,63.0,52.4,36.3,95.2,87.7,0.9,7.3,Andover High School,Saugus High School,9735,28619,0.025,0.086,0.847,0.833,0.135,0.132,95600,88667,55457,39790,2376.6,2467.0
Gloucester-Salisbury,24.43540868,15.183458969627928,Gloucester,Salisbury,8,42.613438,-70.676187,29,42.744187,-70.916438,1070000.0,Gloucester,7730000.0,Triton,13.1,16.9,1.8,1.2,12.9,79.7,0.3,0.3,3.8,1.6,2.1,3.9,90.1,0.1,0.1,2.0,55.0,69.0,49.2,67.2,39.1,30.8,83.7,89.5,5.8,3.7,Gloucester High School,Triton Regional High School,29729,9236,0.024,0.036,0.919,0.928,0.086,0.049,72574,81304,43321,43214,1099.0,536.9
North Andover-Beverly,24.46677036,15.202946214049929,North Andover,Beverly,24,42.700563,-71.116563,3,42.564813,-70.881187,2110000.0,North Andover,300000.0,Beverly,18.0,16.4,2.9,7.6,13.5,72.5,0.1,0.1,3.3,3.5,2.5,14.9,75.0,0.1,0.0,4.0,80.0,56.5,83.0,75.1,48.4,36.9,97.3,91.0,0.3,4.8,North Andover High School,Beverly High School,30915,42670,0.076,0.051,0.811,0.885,0.119,0.08,108070,80586,54939,45803,1077.8,2617.2
Gloucester-Boxford,24.54952973,15.254370502270476,Gloucester,Boxford,8,42.613438,-70.676187,4,42.624813,-70.975813,1070000.0,Gloucester,7050000.0,Masconomet,13.1,15.8,1.8,1.2,12.9,79.7,0.3,0.3,3.8,0.7,3.7,3.1,90.0,0.1,0.2,2.4,55.0,83.5,49.2,88.3,39.1,47.2,83.7,95.9,5.8,1.7,Gloucester High School,Masconomet Regional High School,29729,8203,0.024,0.024,0.919,0.935,0.086,0.046,72574,184007,43321,79705,1099.0,338.1
Andover-Beverly,24.68230867,15.336875510225218,Andover,Beverly,2,42.657187,-71.155438,3,42.564813,-70.881187,90000.0,Andover,300000.0,Beverly,12.3,16.4,2.7,19.0,7.9,66.5,0.1,0.1,3.7,3.5,2.5,14.9,75.0,0.1,0.0,4.0,74.4,56.5,81.1,75.1,52.4,36.9,95.2,91.0,0.9,4.8,Andover High School,Beverly High School,9735,42670,0.025,0.051,0.847,0.885,0.135,0.08,95600,80586,55457,45803,2376.6,2617.2
Lynnfield-Rowley,24.72321505,15.362293556244408,Lynnfield,Rowley,15,42.539063,-71.033062,27,42.744187,-70.916438,1640000.0,Lynnfield,7730000.0,Triton,17.6,16.9,1.9,6.9,5.8,82.2,0.0,0.0,3.2,1.6,2.1,3.9,90.1,0.1,0.1,2.0,67.0,69.0,85.4,67.2,44.0,30.8,97.5,89.5,1.3,3.7,Lynnfield High School,Triton Regional High School,13000,6161,0.024,0.008,0.907,0.954,0.078,0.033,128641,115909,63191,54885,1173.4,321.6
Ipswich-Lynn,24.75308019,15.380850893825723,Ipswich,Lynn,12,42.688563,-70.850938,14,42.476687,-70.943687,1440000.0,Ipswich,1630000.0,Lynn,15.1,15.4,1.3,1.3,7.1,86.3,0.1,0.0,4.0,8.2,7.5,67.9,13.0,0.3,0.0,3.1,78.6,23.3,69.9,41.1,45.2,27.8,90.8,79.0,4.9,13.7,Ipswich High School,Lynn Classical High School + Lynn English High School,13785,101253,0.042,0.428,0.92,0.359,0.065,0.367,93212,56181,52393,26291,410.3,8409.5
Newburyport-Methuen,24.93873785,15.49621321495254,Newburyport,Methuen,23,42.813187,-70.886188,19,42.733063,-71.171563,2040000.0,Newburyport,1810000.0,Methuen,14.0,18.3,0.9,1.9,4.3,90.3,0.0,0.0,2.6,3.8,3.7,46.0,42.6,0.1,0.1,3.9,62.0,46.2,81.5,60.0,43.4,29.0,94.6,93.2,0.5,2.7,Newburyport High School,Methuen High School,18289,53059,0.028,0.295,0.924,0.609,0.075,0.223,109839,77484,64018,35387,2086.2,2124.0
Manchester-Saugus,24.9557742,15.506799112025297,Manchester,Saugus,6,42.582062,-70.766188,30,42.460813,-71.022437,6980000.0,Manchester Essex Regional,2620000.0,Saugus,14.8,17.0,0.5,1.2,1.3,96.5,0.0,0.0,0.6,5.4,5.5,22.8,62.5,0.8,0.4,2.6,77.7,50.6,83.0,63.0,40.9,36.3,99.1,87.7,0.0,7.3,Manchester Essex Regional High School,Saugus High School,5395,28619,0.015,0.086,0.971,0.833,0.078,0.132,148854,88667,74989,39790,556.5,2467.0
Swampscott-Gloucester,24.9725896,15.517247717133625,Swampscott,Gloucester,31,42.479062,-70.920438,8,42.613438,-70.676187,2910000.0,Swampscott,1070000.0,Gloucester,16.8,13.1,3.7,2.7,12.1,78.1,0.2,0.0,3.1,1.8,1.2,12.9,79.7,0.3,0.3,3.8,68.8,55.0,77.5,49.2,37.1,39.1,95.7,83.7,0.6,5.8,Swampscott High School,Gloucester High School,15111,29729,0.025,0.024,0.917,0.919,0.129,0.086,113407,72574,56405,43321,4560.1,1099.0
Salem-Georgetown,24.97599862,15.519365983947756,Salem,Georgetown,28,42.506312,-70.911563,7,42.724063,-70.986438,2580000.0,Salem,1050000.0,Georgetown,13.5,14.9,6.6,2.6,43.9,42.4,0.0,0.0,4.5,0.8,1.0,2.4,93.7,0.0,0.2,2.0,56.1,87.2,50.2,82.6,27.3,41.1,73.9,95.5,10.9,2.7,Salem High School,Georgetown High School,44480,8470,0.178,0.035,0.718,0.932,0.146,0.037,68808,128466,38400,53243,4992.9,636.3
Newburyport-Lawrence,25.11584113,15.606260090799044,Newburyport,Lawrence,23,42.813187,-70.886188,13,42.691187,-71.145062,2040000.0,Newburyport,1490000.0,Lawrence,14.0,17.9,0.9,1.9,4.3,90.3,0.0,0.0,2.6,1.3,1.2,93.8,3.2,0.0,0.0,0.4,62.0,23.8,81.5,45.7,43.4,19.6,94.6,72.8,0.5,8.8,Newburyport High School,Lawrence High School,18289,89143,0.028,0.806,0.924,0.148,0.075,0.406,109839,44613,64018,20858,2086.2,11028.0
Ipswich-Andover,25.13750742,15.619722899199228,Ipswich,Andover,12,42.688563,-70.850938,2,42.657187,-71.155438,1440000.0,Ipswich,90000.0,Andover,15.1,12.3,1.3,1.3,7.1,86.3,0.1,0.0,4.0,2.7,19.0,7.9,66.5,0.1,0.1,3.7,78.6,74.4,69.9,81.1,45.2,52.4,90.8,95.2,4.9,0.9,Ipswich High School,Andover High School,13785,9735,0.042,0.025,0.92,0.847,0.065,0.135,93212,95600,52393,55457,410.3,2376.6
Hamilton-Lawrence,25.28048248,15.70856348237175,Hamilton,Lawrence,33,42.628687,-70.847813,13,42.691187,-71.145062,6750000.0,Hamilton-Wenham,1490000.0,Lawrence,11.8,17.9,0.5,3.7,5.2,87.8,0.0,0.2,2.7,1.3,1.2,93.8,3.2,0.0,0.0,0.4,62.1,23.8,81.5,45.7,57.1,19.6,97.2,72.8,0.7,8.8,Hamilton-Wenham Regional High School,Lawrence High School,7561,89143,0.015,0.806,0.91,0.148,0.096,0.406,127813,44613,49347,20858,547.4,11028.0
Amesbury-Middleton,25.30497511,15.72378249702108,Amesbury,Middleton,1,42.851062,-70.942437,20,42.624813,-70.975813,70000.0,Amesbury,7050000.0,Masconomet,15.1,15.8,1.9,1.2,9.7,82.6,0.2,0.1,4.3,0.7,3.7,3.1,90.0,0.1,0.2,2.4,58.7,83.5,67.5,88.3,33.3,47.2,87.9,95.9,3.0,1.7,Amesbury High School,Masconomet Regional High School,17366,9779,0.025,0.062,0.938,0.903,0.043,0.085,82468,125204,42607,52896,1327.8,667.9
Hamilton-Andover,25.3605952,15.758343218532286,Hamilton,Andover,33,42.628687,-70.847813,2,42.657187,-71.155438,6750000.0,Hamilton-Wenham,90000.0,Andover,11.8,12.3,0.5,3.7,5.2,87.8,0.0,0.2,2.7,2.7,19.0,7.9,66.5,0.1,0.1,3.7,62.1,74.4,81.5,81.1,57.1,52.4,97.2,95.2,0.7,0.9,Hamilton-Wenham Regional High School,Andover High School,7561,9735,0.015,0.025,0.91,0.847,0.096,0.135,127813,95600,49347,55457,547.4,2376.6
Gloucester-Peabody,25.57331745,15.890522696154266,Gloucester,Peabody,8,42.613438,-70.676187,25,42.544562,-70.974187,1070000.0,Gloucester,2290000.0,Peabody,13.1,16.4,1.8,1.2,12.9,79.7,0.3,0.3,3.8,3.8,2.1,19.4,72.5,0.2,0.0,2.0,55.0,56.5,49.2,60.9,39.1,37.7,83.7,88.0,5.8,5.9,Gloucester High School,Peabody Veterans Memorial High School,29729,54481,0.024,0.099,0.919,0.827,0.086,0.154,72574,73217,43321,40095,1099.0,3161.4
Beverly-Lawrence,25.75900643,16.00590447862675,Beverly,Lawrence,3,42.564813,-70.881187,13,42.691187,-71.145062,300000.0,Beverly,1490000.0,Lawrence,16.4,17.9,3.5,2.5,14.9,75.0,0.1,0.0,4.0,1.3,1.2,93.8,3.2,0.0,0.0,0.4,56.5,23.8,75.1,45.7,36.9,19.6,91.0,72.8,4.8,8.8,Beverly High School,Lawrence High School,42670,89143,0.051,0.806,0.885,0.148,0.08,0.406,80586,44613,45803,20858,2617.2,11028.0
Danvers-Methuen,25.83599886,16.053745356476842,Danvers,Methuen,5,42.582062,-70.931438,19,42.733063,-71.171563,710000.0,Danvers,1810000.0,Methuen,16.8,18.3,2.3,2.4,9.1,83.6,0.1,0.0,2.6,3.8,3.7,46.0,42.6,0.1,0.1,3.9,55.7,46.2,70.9,60.0,39.3,29.0,95.8,93.2,0.8,2.7,Danvers High School,Methuen High School,28087,53059,0.051,0.295,0.876,0.609,0.105,0.223,89250,77484,44005,35387,1995.6,2124.0
Hamilton-Amesbury,25.90634098,16.097453923288366,Hamilton,Amesbury,10,42.628687,-70.847813,1,42.851062,-70.942437,6750000.0,Hamilton-Wenham,70000.0,Amesbury,11.8,15.1,0.5,3.7,5.2,87.8,0.0,0.2,2.7,1.9,1.2,9.7,82.6,0.2,0.1,4.3,62.1,58.7,81.5,67.5,57.1,33.3,97.2,87.9,0.7,3.0,Hamilton-Wenham Regional High School,Amesbury High School,7561,17366,0.015,0.025,0.91,0.938,0.096,0.043,127813,82468,49347,42607,547.4,1327.8
Danvers-Newburyport,25.96460641,16.133658382863327,Danvers,Newburyport,5,42.582062,-70.931438,23,42.813187,-70.886188,710000.0,Danvers,2040000.0,Newburyport,16.8,14.0,2.3,2.4,9.1,83.6,0.1,0.0,2.6,0.9,1.9,4.3,90.3,0.0,0.0,2.6,55.7,62.0,70.9,81.5,39.3,43.4,95.8,94.6,0.8,0.5,Danvers High School,Newburyport High School,28087,18289,0.051,0.028,0.876,0.924,0.105,0.075,89250,109839,44005,64018,1995.6,2086.2
Andover-Salem,26.07940254,16.204989390768823,Andover,Salem,2,42.657187,-71.155438,28,42.506312,-70.911563,90000.0,Andover,2580000.0,Salem,12.3,13.5,2.7,19.0,7.9,66.5,0.1,0.1,3.7,6.6,2.6,43.9,42.4,0.0,0.0,4.5,74.4,56.1,81.1,50.2,52.4,27.3,95.2,73.9,0.9,10.9,Andover High School,Salem High School,9735,44480,0.025,0.178,0.847,0.718,0.135,0.146,95600,68808,55457,38400,2376.6,4992.9
Salem-Newbury,26.45350027,16.43744294243522,Salem,Newbury,28,42.506312,-70.911563,22,42.744187,-70.916438,2580000.0,Salem,7730000.0,Triton,13.5,16.9,6.6,2.6,43.9,42.4,0.0,0.0,4.5,1.6,2.1,3.9,90.1,0.1,0.1,2.0,56.1,69.0,50.2,67.2,27.3,30.8,73.9,89.5,10.9,3.7,Salem High School,Triton Regional High School,44480,6716,0.178,0.03,0.718,0.921,0.146,0.04,68808,101875,38400,57871,4992.9,285.4
Peabody-Methuen,26.45757624,16.439975632764526,Peabody,Methuen,25,42.544562,-70.974187,19,42.733063,-71.171563,2290000.0,Peabody,1810000.0,Methuen,16.4,18.3,3.8,2.1,19.4,72.5,0.2,0.0,2.0,3.8,3.7,46.0,42.6,0.1,0.1,3.9,56.5,46.2,60.9,60.0,37.7,29.0,88.0,93.2,5.9,2.7,Peabody Veterans Memorial High School,Methuen High School,54481,53059,0.099,0.295,0.827,0.609,0.154,0.223,73217,77484,40095,35387,3161.4,2124.0
Lynn-Andover,26.52440378,16.481500340819096,Lynn,Andover,14,42.476687,-70.943687,2,42.657187,-71.155438,1630000.0,Lynn,90000.0,Andover,15.4,12.3,8.2,7.5,67.9,13.0,0.3,0.0,3.1,2.7,19.0,7.9,66.5,0.1,0.1,3.7,23.3,74.4,41.1,81.1,27.8,52.4,79.0,95.2,13.7,0.9,Lynn Classical High School + Lynn English High School,Andover High School,101253,9735,0.428,0.025,0.359,0.847,0.367,0.135,56181,95600,26291,55457,8409.5,2376.6
Groveland-Beverly,26.5467793,16.495403844308367,Groveland,Beverly,9,42.782938,-71.013188,3,42.564813,-70.881187,7450000.0,Pentucket,300000.0,Beverly,16.3,16.4,0.4,1.2,6.0,89.9,0.1,0.0,2.5,3.5,2.5,14.9,75.0,0.1,0.0,4.0,63.3,56.5,80.2,75.1,40.4,36.9,94.7,91.0,3.2,4.8,Pentucket Regional High School,Beverly High School,6752,42670,0.032,0.051,0.959,0.885,0.025,0.08,103125,80586,44709,45803,727.1,2617.2
Methuen-Ipswich,26.6597276,16.565586663887842,Methuen,Ipswich,19,42.733063,-71.171563,12,42.688563,-70.850938,1810000.0,Methuen,1440000.0,Ipswich,18.3,15.1,3.8,3.7,46.0,42.6,0.1,0.1,3.9,1.3,1.3,7.1,86.3,0.1,0.0,4.0,46.2,78.6,60.0,69.9,29.0,45.2,93.2,90.8,2.7,4.9,Methuen High School,Ipswich High School,53059,13785,0.295,0.042,0.609,0.92,0.223,0.065,77484,93212,35387,52393,2124.0,410.3
Lynn-Gloucester,26.67312622,16.5739121803416,Lynn,Gloucester,14,42.476687,-70.943687,8,42.613438,-70.676187,1630000.0,Lynn,1070000.0,Gloucester,15.4,13.1,8.2,7.5,67.9,13.0,0.3,0.0,3.1,1.8,1.2,12.9,79.7,0.3,0.3,3.8,23.3,55.0,41.1,49.2,27.8,39.1,79.0,83.7,13.7,5.8,Lynn Classical High School + Lynn English High School,Gloucester High School,101253,29729,0.428,0.024,0.359,0.919,0.367,0.086,56181,72574,26291,43321,8409.5,1099.0
Groveland-Peabody,26.69734516,16.58896113190994,Groveland,Peabody,9,42.782938,-71.013188,25,42.544562,-70.974187,7450000.0,Pentucket,2290000.0,Peabody,16.3,16.4,0.4,1.2,6.0,89.9,0.1,0.0,2.5,3.8,2.1,19.4,72.5,0.2,0.0,2.0,63.3,56.5,80.2,60.9,40.4,37.7,94.7,88.0,3.2,5.9,Pentucket Regional High School,Peabody Veterans Memorial High School,6752,54481,0.032,0.099,0.959,0.827,0.025,0.154,103125,73217,44709,40095,727.1,3161.4
Haverhill-Danvers,26.94499808,16.742845521517314,Haverhill,Danvers,11,42.787188,-71.106938,5,42.582062,-70.931438,1280000.0,Haverhill,710000.0,Danvers,17.2,16.8,5.2,1.8,40.9,49.7,0.2,0.1,2.1,2.3,2.4,9.1,83.6,0.1,0.0,2.6,48.4,55.7,56.9,70.9,28.5,39.3,80.4,95.8,7.7,0.8,Haverhill High School,Danvers High School,67787,28087,0.232,0.051,0.697,0.876,0.107,0.105,69426,89250,33918,44005,1846.5,1995.6
