school_to_school,origin,distance_mi,median_household_income_x,median_household_income_y
Methuen-Saugus,0,20.282260549932783,77484,88667
Saugus-Salisbury,0,20.307828831078293,88667,81304
Newburyport-Lynnfield,0,20.356616448714604,109839,128641
Andover-Manchester,0,20.460129563002276,95600,148854
Salem-Methuen,0,20.498835495217957,68808,77484
Saugus-Gloucester,0,20.54127361270812,88667,72574
Manchester-Amesbury,0,20.6275022248012,148854,82468
Manchester-Lawrence,0,20.681324564641606,148854,44613
Merrimac-Gloucester,0,20.736345367951014,84609,72574
Rockport-Lynn,0,20.8839856108975,85208,56181
Lynn-Methuen,0,21.167875343829028,56181,77484
Amesbury-Peabody,0,21.238386179045992,82468,73217
Newburyport-Salem,0,21.242177897894187,109839,68808
Gloucester-Amesbury,0,21.26372255824968,72574,82468
Marblehead-Groveland,0,21.36451126434109,123333,103125
Merrimac-Lynn,0,21.4528307283514,84609,56181
Swampscott-Groveland,0,21.51867720344836,113407,103125
Methuen-Swampscott,0,21.70454772517829,77484,113407
Rockport-Amesbury,0,21.77235614252541,85208,82468
Salem-Haverhill,0,21.799231471755373,68808,69426
Amesbury-Lynnfield,0,22.042808363077896,82468,128641
Marblehead-Newburyport,0,22.178447256449367,123333,109839
Saugus-Groveland,0,22.26165384218731,88667,103125
Haverhill-Manchester,0,22.36945438661742,69426,148854
Rockport-Groveland,0,22.392578038158675,85208,103125
Marblehead-Methuen,0,22.64541588297923,123333,77484
Rockport-Lynnfield,0,22.91466328343544,85208,128641
Haverhill-Saugus,0,22.955894710502044,69426,88667
Haverhill-Lynn,0,23.0026220104014,69426,56181
Manchester-Methuen,0,23.089600480819158,148854,77484
Swampscott-Newburyport,0,23.15133451011449,113407,109839
Gloucester-North Andover,0,23.172294105998617,72574,108070
Swampscott-Haverhill,0,23.30482078720043,113407,69426
Newburyport-Lynn,0,23.432829441197484,109839,56181
Haverhill-Marblehead,0,23.68056099428028,69426,123333
Amesbury-Salem,0,23.871491956767866,82468,68808
Gloucester-Lawrence,0,24.42470131212901,72574,44613
Andover-Gloucester,0,24.547384939302,95600,72574
Rockport-Saugus,0,24.827248081289227,85208,88667
Gloucester-Haverhill,0,24.95035273715314,72574,69426
Marblehead-Amesbury,0,25.056378726242865,123333,82468
Saugus-Newburyport,0,25.312493514949253,88667,109839
Amesbury-Swampscott,0,25.72700610367984,82468,113407
Lynn-Amesbury,0,25.86689109358219,56181,82468
Rockport-North Andover,0,25.970085084054105,85208,108070
Gloucester-Methuen,0,26.487426371561423,72574,77484
Rockport-Haverhill,0,26.915489928836628,85208,69426
Saugus-Amesbury,0,27.268306509975,88667,82468
Lawrence-Rockport,0,27.33693396290136,44613,85208
Andover-Rockport,0,27.740646256643792,95600,85208
Rockport-Methuen,0,29.08233974307388,85208,77484
