town_low,town_high,distance_mi,rank,category,pct_graduated,school_to_school
Newburyport,Merrimac,6.769292675011802,54,pct_graduated_high,94.7,Newburyport-Merrimac
Georgetown,North Andover,6.802750263821978,55,pct_graduated_high,97.3,Georgetown-North Andover
Lynn,Beverly,6.870577048901468,56,pct_graduated_high,91.0,Lynn-Beverly
Georgetown,Boxford,6.878720081064147,57,pct_graduated_high,95.9,Georgetown-Boxford
Lawrence,Haverhill,6.909402253317068,58,pct_graduated_high,80.4,Lawrence-Haverhill
Marblehead,Danvers,6.956299833777334,59,pct_graduated_high,95.8,Marblehead-Danvers
Swampscott,Lynnfield,7.077581548126293,60,pct_graduated_high,97.5,Swampscott-Lynnfield
Swampscott,Danvers,7.138617286692019,61,pct_graduated_high,95.8,Swampscott-Danvers
Ipswich,Georgetown,7.303851120504134,62,pct_graduated_high,95.5,Ipswich-Georgetown
Lynn,Danvers,7.307373189110715,63,pct_graduated_high,95.8,Lynn-Danvers
Amesbury,Newbury,7.5010648416583505,64,pct_graduated_high,89.5,Amesbury-Newbury
Haverhill,Georgetown,7.509617320152967,65,pct_graduated_high,95.5,Haverhill-Georgetown
Ipswich,Middleton,7.724247814786984,66,pct_graduated_high,95.9,Ipswich-Middleton
Merrimac,North Andover,7.740175664835019,67,pct_graduated_high,97.3,Merrimac-North Andover
Beverly,Lynnfield,7.932323713286167,68,pct_graduated_high,97.5,Beverly-Lynnfield
Newburyport,Georgetown,7.985919998287651,69,pct_graduated_high,95.5,Newburyport-Georgetown
Saugus,Marblehead,8.109540994969315,70,pct_graduated_high,95.1,Saugus-Marblehead
Marblehead,Manchester,8.114360343705243,71,pct_graduated_high,99.1,Marblehead-Manchester
Lawrence,Georgetown,8.367780755084983,72,pct_graduated_high,95.5,Lawrence-Georgetown
Danvers,Manchester,8.406932757250539,73,pct_graduated_high,99.1,Danvers-Manchester
Ipswich,Danvers,8.419675912179603,74,pct_graduated_high,95.8,Ipswich-Danvers
Ipswich,Manchester,8.526754212020727,75,pct_graduated_high,99.1,Ipswich-Manchester
Peabody,Hamilton,8.6667657317385,76,pct_graduated_high,97.2,Peabody-Hamilton
