school_to_school,distance_mi,town,year,hh_income,rank,category
Gloucester-Georgetown,17.51726905403272,Gloucester,1979,51063.0,218,x_hh_income
Haverhill-Lynnfield,17.549864906635467,Haverhill,1979,49111.0,219,x_hh_income
Salisbury-Marblehead,17.559301459631794,Salisbury,1979,53766.0,220,x_hh_income
Lynn-North Andover,17.793342757604016,Lynn,1979,46904.0,221,x_hh_income
Rockport-Newburyport,17.911944205966048,Rockport,1979,53818.0,222,x_hh_income
Methuen-Hamilton,17.956172618128836,Methuen,1979,61849.0,223,x_hh_income
Saugus-Ipswich,17.993398810778938,Saugus,1979,69615.0,224,x_hh_income
Lawrence-Lynn,18.016548938946595,Lawrence,1979,39108.0,225,x_hh_income
Haverhill-Peabody,18.069702789019665,Haverhill,1979,49111.0,226,x_hh_income
North Andover-Swampscott,18.268783059518945,North Andover,1979,72562.0,227,x_hh_income
Saugus-Georgetown,18.28075555882961,Saugus,1979,69615.0,228,x_hh_income
Newbury-Swampscott,18.31949668550949,Newbury,1979,68671.0,229,x_hh_income
Salem-Rockport,18.37551040891196,Salem,1979,49457.0,230,x_hh_income
Andover-Marblehead,18.48502227795016,Andover,1979,88976.0,231,x_hh_income
Lynn-Newbury,18.534331766607817,Lynn,1979,46904.0,232,x_hh_income
Lawrence-Swampscott,18.584554664701063,Lawrence,1979,39108.0,233,x_hh_income
Amesbury-Danvers,18.594489097577085,Amesbury,1979,52538.0,234,x_hh_income
Groveland-Manchester,18.708926594679557,Groveland,1979,73695.0,235,x_hh_income
Rockport-Boxford,18.711609389647226,Rockport,1979,53818.0,236,x_hh_income
Methuen-Beverly,18.785638006009563,Methuen,1979,61849.0,237,x_hh_income
Gloucester-Lynnfield,18.87052226289195,Gloucester,1979,51063.0,238,x_hh_income
Peabody-Newburyport,19.090854751609864,Peabody,1979,67532.0,239,x_hh_income
North Andover-Marblehead,19.10744090093772,North Andover,1979,72562.0,240,x_hh_income
Haverhill-Beverly,19.17226391554763,Haverhill,1979,49111.0,241,x_hh_income
North Andover-Manchester,19.60006908182719,North Andover,1979,72562.0,242,x_hh_income
Lawrence-Marblehead,19.63388197068381,Lawrence,1979,39108.0,243,x_hh_income
Rockport-Georgetown,19.77429283323797,Rockport,1979,53818.0,244,x_hh_income
Salem-Merrimac,19.79855980776882,Salem,1979,49457.0,245,x_hh_income
Rockport-Swampscott,19.832944954636584,Rockport,1979,53818.0,246,x_hh_income
Peabody-Rockport,19.98039290805461,Peabody,1979,67532.0,247,x_hh_income
Beverly-Amesbury,20.02087689393048,Beverly,1979,61261.0,248,x_hh_income
Methuen-Saugus,20.282260549932783,Methuen,1979,61849.0,249,x_hh_income
Salisbury-Saugus,20.307828831078293,Salisbury,1979,53766.0,250,x_hh_income
Newburyport-Lynnfield,20.356616448714604,Newburyport,1979,55904.0,251,x_hh_income
Andover-Manchester,20.460129563002276,Andover,1979,88976.0,252,x_hh_income
Salem-Methuen,20.498835495217957,Salem,1979,49457.0,253,x_hh_income
Gloucester-Saugus,20.54127361270812,Gloucester,1979,51063.0,254,x_hh_income
Amesbury-Manchester,20.6275022248012,Amesbury,1979,52538.0,255,x_hh_income
Lawrence-Manchester,20.681324564641606,Lawrence,1979,39108.0,256,x_hh_income
Gloucester-Merrimac,20.736345367951014,Gloucester,1979,51063.0,257,x_hh_income
Lynn-Rockport,20.8839856108975,Lynn,1979,46904.0,258,x_hh_income
Lynn-Methuen,21.167875343829028,Lynn,1979,46904.0,259,x_hh_income
Peabody-Amesbury,21.238386179045992,Peabody,1979,67532.0,260,x_hh_income
Salem-Newburyport,21.242177897894187,Salem,1979,49457.0,261,x_hh_income
Gloucester-Amesbury,21.26372255824968,Gloucester,1979,51063.0,262,x_hh_income
Groveland-Marblehead,21.36451126434109,Groveland,1979,73695.0,263,x_hh_income
Lynn-Merrimac,21.4528307283514,Lynn,1979,46904.0,264,x_hh_income
Groveland-Swampscott,21.51867720344836,Groveland,1979,73695.0,265,x_hh_income
Methuen-Swampscott,21.70454772517829,Methuen,1979,61849.0,266,x_hh_income
Amesbury-Rockport,21.77235614252541,Amesbury,1979,52538.0,267,x_hh_income
Salem-Haverhill,21.799231471755373,Salem,1979,49457.0,268,x_hh_income
Amesbury-Lynnfield,22.042808363077896,Amesbury,1979,52538.0,269,x_hh_income
Newburyport-Marblehead,22.178447256449367,Newburyport,1979,55904.0,270,x_hh_income
Saugus-Groveland,22.26165384218731,Saugus,1979,69615.0,271,x_hh_income
Haverhill-Manchester,22.36945438661742,Haverhill,1979,49111.0,272,x_hh_income
Rockport-Groveland,22.392578038158675,Rockport,1979,53818.0,273,x_hh_income
Methuen-Marblehead,22.64541588297923,Methuen,1979,61849.0,274,x_hh_income
Rockport-Lynnfield,22.91466328343544,Rockport,1979,53818.0,275,x_hh_income
Haverhill-Saugus,22.955894710502044,Haverhill,1979,49111.0,276,x_hh_income
Lynn-Haverhill,23.0026220104014,Lynn,1979,46904.0,277,x_hh_income
Methuen-Manchester,23.089600480819158,Methuen,1979,61849.0,278,x_hh_income
Newburyport-Swampscott,23.15133451011449,Newburyport,1979,55904.0,279,x_hh_income
Gloucester-North Andover,23.172294105998617,Gloucester,1979,51063.0,280,x_hh_income
Haverhill-Swampscott,23.30482078720043,Haverhill,1979,49111.0,281,x_hh_income
Lynn-Newburyport,23.432829441197484,Lynn,1979,46904.0,282,x_hh_income
Haverhill-Marblehead,23.68056099428028,Haverhill,1979,49111.0,283,x_hh_income
Salem-Amesbury,23.871491956767866,Salem,1979,49457.0,284,x_hh_income
Lawrence-Gloucester,24.42470131212901,Lawrence,1979,39108.0,285,x_hh_income
Gloucester-Andover,24.547384939302,Gloucester,1979,51063.0,286,x_hh_income
Rockport-Saugus,24.827248081289227,Rockport,1979,53818.0,287,x_hh_income
Haverhill-Gloucester,24.95035273715314,Haverhill,1979,49111.0,288,x_hh_income
Amesbury-Marblehead,25.056378726242865,Amesbury,1979,52538.0,289,x_hh_income
Saugus-Newburyport,25.312493514949253,Saugus,1979,69615.0,290,x_hh_income
Amesbury-Swampscott,25.72700610367984,Amesbury,1979,52538.0,291,x_hh_income
Lynn-Amesbury,25.86689109358219,Lynn,1979,46904.0,292,x_hh_income
Rockport-North Andover,25.970085084054105,Rockport,1979,53818.0,293,x_hh_income
Gloucester-Methuen,26.487426371561423,Gloucester,1979,51063.0,294,x_hh_income
Haverhill-Rockport,26.915489928836628,Haverhill,1979,49111.0,295,x_hh_income
Amesbury-Saugus,27.268306509975,Amesbury,1979,52538.0,296,x_hh_income
Lawrence-Rockport,27.33693396290136,Lawrence,1979,39108.0,297,x_hh_income
Rockport-Andover,27.740646256643792,Rockport,1979,53818.0,298,x_hh_income
Methuen-Rockport,29.08233974307388,Methuen,1979,61849.0,299,x_hh_income
Lynn-Swampscott,1.196055302079143,Lynn,1989,54573.0,300,x_hh_income
Lawrence-North Andover,1.5855866438822594,Lawrence,1989,42398.0,301,x_hh_income
Salem-Swampscott,1.9363245470077504,Salem,1989,62394.0,302,x_hh_income
Salem-Marblehead,2.361965084725948,Salem,1989,62394.0,303,x_hh_income
Lawrence-Andover,2.4075788470636974,Lawrence,1989,42398.0,304,x_hh_income
Lynn-Salem,2.620759071282193,Lynn,1989,54573.0,305,x_hh_income
Swampscott-Marblehead,2.7700866048205146,Swampscott,1989,95930.0,306,x_hh_income
Beverly-Danvers,2.820942616776508,Beverly,1989,75693.0,307,x_hh_income
Peabody-Lynnfield,3.0211280959779665,Peabody,1989,76069.0,308,x_hh_income
Lawrence-Methuen,3.190858545165007,Lawrence,1989,42398.0,309,x_hh_income
Peabody-Danvers,3.3831848090871595,Peabody,1989,76069.0,310,x_hh_income
Methuen-North Andover,3.582984079375072,Methuen,1989,72058.0,311,x_hh_income
Andover-North Andover,3.5890416313744566,Andover,1989,116723.0,312,x_hh_income
Danvers-Topsfield,3.717251074636475,Danvers,1989,83636.0,313,x_hh_income
Salisbury-Georgetown,3.814898481551445,Salisbury,1989,68193.0,314,x_hh_income
Amesbury-Newburyport,3.8692811155221,Amesbury,1989,72417.0,315,x_hh_income
Lynn-Marblehead,3.9489579065240856,Lynn,1989,54573.0,316,x_hh_income
Ipswich-Hamilton,4.140077970284551,Ipswich,1989,81012.0,317,x_hh_income
Salem-Peabody,4.141631838811724,Salem,1989,62394.0,318,x_hh_income
Lynn-Saugus,4.160763648971105,Lynn,1989,54573.0,319,x_hh_income
Merrimac-Georgetown,4.28828278923016,Merrimac,1989,78814.0,320,x_hh_income
Gloucester-Rockport,4.3171524484408135,Gloucester,1989,62480.0,321,x_hh_income
Salem-Beverly,4.327777882741018,Salem,1989,62394.0,322,x_hh_income
Beverly-Hamilton,4.72845942483406,Beverly,1989,75693.0,323,x_hh_income
Haverhill-Groveland,4.762942120764938,Haverhill,1989,70613.0,324,x_hh_income
Peabody-Beverly,4.935838087070542,Peabody,1989,76069.0,325,x_hh_income
Lynn-Peabody,4.94029677394803,Lynn,1989,54573.0,326,x_hh_income
Haverhill-Methuen,4.97318960159047,Haverhill,1989,70613.0,327,x_hh_income
Newbury-Newburyport,5.008180269711917,Newbury,1989,84227.0,328,x_hh_income
Beverly-Marblehead,5.037819794778186,Beverly,1989,75693.0,329,x_hh_income
Gloucester-Manchester,5.06495176646527,Gloucester,1989,62480.0,330,x_hh_income
Ipswich-Newbury,5.0819856969992605,Ipswich,1989,81012.0,331,x_hh_income
Hamilton-Manchester,5.254430247077268,Hamilton,1989,93972.0,332,x_hh_income
Peabody-Swampscott,5.289150594497587,Peabody,1989,76069.0,333,x_hh_income
Methuen-Andover,5.306090018823177,Methuen,1989,72058.0,334,x_hh_income
Salem-Danvers,5.330710306255406,Salem,1989,62394.0,335,x_hh_income
Danvers-Hamilton,5.335146344153019,Danvers,1989,83636.0,336,x_hh_income
