school_to_school,distance,distance_mi,towns_1,towns_2,loc1,lat1,lon1,loc2,lat2,lon2
Groveland-Newburyport,10.89412059,6.769292675011802,Groveland,Newburyport,34,42.782938,-71.013188,23,42.813187,-70.886188
Newburyport-Groveland,10.89412059,6.769292675011802,Newburyport,Groveland,23,42.813187,-70.886188,34,42.782938,-71.013188
Groveland-Newburyport,10.89412059,6.769292675011802,Groveland,Newburyport,9,42.782938,-71.013188,23,42.813187,-70.886188
Newburyport-Merrimac,10.89412059,6.769292675011802,Newburyport,Merrimac,23,42.813187,-70.886188,18,42.782938,-71.013188
Georgetown-North Andover,10.94796536,6.802750263821978,Georgetown,North Andover,7,42.724063,-70.986438,24,42.700563,-71.116563
North Andover-Georgetown,10.94796536,6.802750263821978,North Andover,Georgetown,24,42.700563,-71.116563,7,42.724063,-70.986438
Lynn-Beverly,11.05712199,6.870577048901468,Lynn,Beverly,14,42.476687,-70.943687,3,42.564813,-70.881187
Beverly-Lynn,11.05712199,6.870577048901468,Beverly,Lynn,3,42.564813,-70.881187,14,42.476687,-70.943687
Georgetown-Boxford,11.07022693,6.878720081064147,Georgetown,Boxford,7,42.724063,-70.986438,4,42.624813,-70.975813
Georgetown-Topsfield,11.07022693,6.878720081064147,Georgetown,Topsfield,7,42.724063,-70.986438,32,42.624813,-70.975813
Boxford-Georgetown,11.07022693,6.878720081064147,Boxford,Georgetown,4,42.624813,-70.975813,7,42.724063,-70.986438
Georgetown-Middleton,11.07022693,6.878720081064147,Georgetown,Middleton,7,42.724063,-70.986438,20,42.624813,-70.975813
Middleton-Georgetown,11.07022693,6.878720081064147,Middleton,Georgetown,20,42.624813,-70.975813,7,42.724063,-70.986438
Topsfield-Georgetown,11.07022693,6.878720081064147,Topsfield,Georgetown,32,42.624813,-70.975813,7,42.724063,-70.986438
Lawrence-Haverhill,11.1196051,6.909402253317068,Lawrence,Haverhill,13,42.691187,-71.145062,11,42.787188,-71.106938
Haverhill-Lawrence,11.1196051,6.909402253317068,Haverhill,Lawrence,11,42.787188,-71.106938,13,42.691187,-71.145062
Danvers-Marblehead,11.19507944,6.956299833777334,Danvers,Marblehead,5,42.582062,-70.931438,17,42.492438,-70.869187
